5HJ8KMDkCCphevjBCbVLqa,Ain't Messin 'Round,rock,0,249413,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
5Ov7KyZfodsafPIn0hgGWT,When My Train Pulls In,rock,0,465960,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
5hFAAY4x6EFPtHO6wKVDHU,Blak and Blu,rock,0,246453,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
2NTDt9Fiqp5wTBM6cLO6Bu,Bright Lights,rock,0,324786,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
2x3zvyCD8ZU0anyu4TpAhK,Travis County,rock,0,218440,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
1jdlyu1JvtENUlxXntEife,The Life,rock,0,305866,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
4LNXxGl1CGhzbd7wQXQaYX,Glitter Ain't Gold (Jumpin' for Nothin'),rock,0,258026,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
5qE73YiMazBlI4r7PuervC,Numb,rock,0,326386,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
0FIvr2VEJ7o1tn27IPbePv,Please Come Home,rock,0,256666,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
1uZfKv0j0bZ1OVt2AQ7rb6,Things Are Changin',rock,0,239720,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
4lxhFahIq2oCrvbzN3bKGS,Third Stone from the Sun / If You Love Me Like You Say,rock,0,578000,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
7o5Z0bKNd8NrbU9yaxafTc,You Saved Me,rock,0,371320,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
4UnyC0yjo6ZckDuzLYHVYk,Next Door Neighbor Blues,rock,0,181240,01aC2ikO4Xgb2LUpf9JfKp,0YCTY6KpkPWp2etKx9ZNyM
61VeLzYgLf75bluXdXWbaV,Ain't Messin 'Round,rock,0,249413,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
2mdxGlwrhtkuxgzbH7LOIh,When My Train Pulls In,rock,0,465960,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
7KumlmusIbdAMvbiZ6dG3t,Blak and Blu,rock,0,246453,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
7aO35V27YDi4hKOL9odSya,Bright Lights,rock,0,324786,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
2AknZixHH262yq00xcHXKa,Travis County,rock,0,218440,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
689PqOWdSatOVBZhAZ180C,The Life,rock,0,305866,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
4YDGmc8R9FT7xyk4a4y5OB,Glitter Ain't Gold (Jumpin' for Nothin'),rock,0,258026,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
3HyiHXZdB5CQTTtxIXYwJs,Numb,rock,0,326386,01aC2ikO4Xgb2LUpf9JfKp,0YaeFHEYGpdzdFIxDRFvCv
